,val_updated,date_,event_type
72,2018-10-09 17:54:01.568334+00:00,2018-10-09 17:54:01.568334+00:00,5
73,2018-10-09 17:54:54.527907+00:00,2018-10-09 17:54:54.527907+00:00,1
74,2018-10-09 17:55:36.735657+00:00,2018-10-09 17:55:36.735657+00:00,7
75,2018-10-09 17:57:28.174192+00:00,2018-10-09 17:57:28.174191+00:00,7
76,2018-10-09 17:57:50.364422+00:00,2018-10-09 17:57:50.364422+00:00,1
77,2018-10-09 17:57:50.365506+00:00,2018-10-09 17:57:50.365506+00:00,1
78,2018-10-09 17:57:50.366659+00:00,2018-10-09 17:57:50.366658+00:00,1
79,2018-10-09 17:57:50.368559+00:00,2018-10-09 17:57:50.368558+00:00,1
80,2018-10-09 17:57:50.370699+00:00,2018-10-09 17:57:50.370698+00:00,1
81,2018-10-09 17:58:37.862594+00:00,2018-10-09 17:58:37.862593+00:00,7
82,2018-10-09 17:58:38.855190+00:00,2018-10-09 17:58:38.855189+00:00,7
83,2018-10-09 18:02:02.943029+00:00,2018-10-09 18:02:02.943028+00:00,7
84,2018-10-09 18:02:36.126656+00:00,2018-10-09 18:02:36.126656+00:00,1
85,2018-10-09 18:03:27.854161+00:00,2018-10-09 18:03:27.854160+00:00,5
86,2018-10-09 18:03:27.923591+00:00,2018-10-09 18:03:27.923590+00:00,5
87,2018-10-09 18:03:27.931520+00:00,2018-10-09 18:03:27.931520+00:00,5
88,2018-10-09 18:03:27.939803+00:00,2018-10-09 18:03:27.939802+00:00,5
89,2018-10-09 18:03:27.947449+00:00,2018-10-09 18:03:27.947449+00:00,5
90,2018-10-09 18:03:48.318888+00:00,2018-10-09 18:03:48.318888+00:00,7
91,2018-10-09 18:04:00.103074+00:00,2018-10-09 18:04:00.103074+00:00,5
92,2018-10-09 18:04:00.110510+00:00,2018-10-09 18:04:00.110510+00:00,5
93,2018-10-09 18:04:00.117031+00:00,2018-10-09 18:04:00.117031+00:00,5
94,2018-10-09 18:04:00.123186+00:00,2018-10-09 18:04:00.123185+00:00,5
95,2018-10-09 18:04:00.130557+00:00,2018-10-09 18:04:00.130556+00:00,5
96,2018-10-09 18:05:22.752152+00:00,2018-10-09 18:05:22.752152+00:00,7
97,2018-10-09 18:05:22.853503+00:00,2018-10-09 18:05:22.853502+00:00,7
98,2018-10-09 18:07:11.733443+00:00,2018-10-09 18:07:11.733442+00:00,1
99,2018-10-09 18:07:50.484897+00:00,2018-10-09 18:07:50.484897+00:00,5
100,2018-10-09 18:07:50.492368+00:00,2018-10-09 18:07:50.492368+00:00,5
101,2018-10-09 18:08:14.336226+00:00,2018-10-09 18:08:14.336226+00:00,5
102,2018-10-09 18:08:39.225696+00:00,2018-10-09 18:08:39.225695+00:00,5
103,2018-10-09 18:08:41.390509+00:00,2018-10-09 18:08:41.390508+00:00,7
104,2018-10-09 18:10:50.966822+00:00,2018-10-09 18:10:50.966821+00:00,7
105,2018-10-09 18:11:23.631236+00:00,2018-10-09 18:11:23.631236+00:00,5
106,2018-10-09 18:11:23.642535+00:00,2018-10-09 18:11:23.642535+00:00,5
107,2018-10-09 18:11:36.929236+00:00,2018-10-09 18:11:36.929236+00:00,7
108,2018-10-09 18:12:11.800809+00:00,2018-10-09 18:12:11.800809+00:00,5
109,2018-10-09 18:13:12.948299+00:00,2018-10-09 18:13:12.948299+00:00,5
110,2018-10-09 18:14:46.787956+00:00,2018-10-09 18:14:46.787956+00:00,1
111,2018-10-09 18:16:43.434084+00:00,2018-10-09 18:16:43.434084+00:00,7
112,2018-10-09 18:17:44.188199+00:00,2018-10-09 18:17:44.188198+00:00,7
113,2018-10-09 18:18:18.098168+00:00,2018-10-09 18:18:18.098167+00:00,5
114,2018-10-09 18:18:18.105696+00:00,2018-10-09 18:18:18.105696+00:00,5
115,2018-10-09 18:18:35.792450+00:00,2018-10-09 18:18:35.792449+00:00,1
116,2018-10-09 18:18:39.915697+00:00,2018-10-09 18:18:39.915697+00:00,7
117,2018-10-09 18:18:39.964957+00:00,2018-10-09 18:18:39.964956+00:00,7
118,2018-10-04 19:41:28.153263+00:00,2018-10-09 18:18:58.738281+00:00,7
119,2018-10-09 18:19:04.353698+00:00,2018-10-09 18:19:04.353698+00:00,1
120,2018-10-09 18:19:20.210704+00:00,2018-10-09 18:19:20.210703+00:00,5
121,2018-10-09 18:19:20.223374+00:00,2018-10-09 18:19:20.223373+00:00,5
122,2018-10-09 18:19:20.237888+00:00,2018-10-09 18:19:20.237888+00:00,5
123,2018-10-09 18:19:20.251141+00:00,2018-10-09 18:19:20.251140+00:00,5
124,2018-10-09 18:19:20.262748+00:00,2018-10-09 18:19:20.262748+00:00,5
125,2018-10-09 18:19:20.272305+00:00,2018-10-09 18:19:20.272305+00:00,5
126,2018-10-09 18:21:06.596848+00:00,2018-10-09 18:21:06.596847+00:00,5
127,2018-10-09 18:22:40.057770+00:00,2018-10-09 18:22:40.057769+00:00,7
128,2018-10-09 18:23:10.375099+00:00,2018-10-09 18:23:10.375099+00:00,5
129,2018-10-09 18:25:55.347009+00:00,2018-10-09 18:25:55.347009+00:00,5
130,2018-10-09 18:31:55.867704+00:00,2018-10-09 18:31:55.867703+00:00,7
131,2018-10-09 18:32:41.052020+00:00,2018-10-09 18:32:41.052020+00:00,5
132,2018-10-09 18:32:41.060718+00:00,2018-10-09 18:32:41.060718+00:00,5
133,2018-10-09 18:32:41.067084+00:00,2018-10-09 18:32:41.067083+00:00,5
134,2018-10-09 18:32:41.088747+00:00,2018-10-09 18:32:41.088746+00:00,5
135,2018-10-09 18:32:41.094903+00:00,2018-10-09 18:32:41.094902+00:00,5
136,2018-10-09 18:32:41.101020+00:00,2018-10-09 18:32:41.101020+00:00,5
137,2018-10-09 18:32:41.107591+00:00,2018-10-09 18:32:41.107591+00:00,5
138,2018-10-09 18:32:41.113701+00:00,2018-10-09 18:32:41.113700+00:00,5
